key,price,remaining
141540|||H Blok-4. Kategori,800.0,149
141540|||G Blok-2. Kategori,1000.0,154
141540|||G Blok-3. Kategori,900.0,149
140370|||A Blok-2.Kategori,1250.0,37
140370|||A Blok-3.Kategori,950.0,35
140370|||B Blok-VIP,1800.0,22
140370|||B Blok-1.Kategori,1500.0,71
140370|||B Blok-2.Kategori,1250.0,29
140370|||C Blok-VIP,1800.0,20
140370|||C Blok-1.Kategori,1500.0,77
140370|||C Blok-2.Kategori,1250.0,29
140370|||D Blok-1.Kategori,1500.0,8
140370|||D Blok-2.Kategori,1250.0,33
140370|||D Blok-3.Kategori,950.0,49
140370|||E Blok-4.Kategori,700.0,32
140370|||F Blok-3.Kategori,950.0,32
140370|||G Blok-2.Kategori,1250.0,35
140370|||H Blok-4.Kategori,700.0,34
141172|||VIP - E Blok,2750.0,40
141172|||VIP - F Blok,2750.0,59
141172|||VIP - D Blok,2750.0,50
141172|||Protokol - E Blok,1900.0,39
141172|||Protokol - F Blok,1900.0,51
141172|||Protokol - D Blok,1900.0,44
141172|||Protokol - G Blok,1900.0,42
141172|||Protokol - C Blok,1900.0,33
141172|||1. Kategori - F Blok,1350.0,27
141172|||1. Kategori - D Blok,1350.0,10
141172|||1. Kategori - G Blok,1350.0,137
141172|||1. Kategori - C Blok,1350.0,97
141172|||1. Kategori - T Blok,1350.0,92
141172|||1. Kategori - S Blok,1350.0,75
141172|||2. Kategori - A Blok,1100.0,152
141172|||2. Kategori - I Blok,1100.0,154
141172|||2. Kategori - T Blok,1100.0,112
141172|||2. Kategori - S Blok,1100.0,94
141172|||2. Kategori - P Blok,1100.0,52
141172|||3. Kategori - N Blok,900.0,4
141172|||3. Kategori - M Blok ,900.0,32
141172|||3. Kategori - L Blok,900.0,127
141172|||3. Kategori - K Blok,900.0,100
